source,year,month,platform,item_head,targets,done_ltrs,achieved_pct,est_ltr
secondary,2024,1,Amazon,PREMIUM,,53025.25,,53025.25
secondary,2024,1,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,1,Blinkit,PREMIUM,,14765.0,,14765.0
secondary,2024,1,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,1,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,1,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,1,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,1,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,1,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,1,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,1,Amazon,COMMODITY,,43765.0,,43765.0
secondary,2024,1,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,1,Blinkit,COMMODITY,,24.0,,24.0
secondary,2024,1,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,1,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,1,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,1,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,1,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,1,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,2,Amazon,PREMIUM,,47653.0,,47653.0
secondary,2024,2,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,2,Blinkit,PREMIUM,,14187.0,,14187.0
secondary,2024,2,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,2,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,2,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,2,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,2,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,2,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,2,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,2,Amazon,COMMODITY,,40800.0,,40800.0
secondary,2024,2,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,2,Blinkit,COMMODITY,,598.0,,598.0
secondary,2024,2,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,2,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,2,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,2,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,2,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,2,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,3,Amazon,PREMIUM,,43298.75,,43298.75
secondary,2024,3,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,3,Blinkit,PREMIUM,,17744.0,,17744.0
secondary,2024,3,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,3,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,3,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,3,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,3,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,3,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,3,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,3,Amazon,COMMODITY,,30945.0,,30945.0
secondary,2024,3,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,3,Blinkit,COMMODITY,,1482.0,,1482.0
secondary,2024,3,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,3,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,3,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,3,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,3,Flipkart,COMMODITY,,0.0,,0.0
