group	cmd	args	exit	source	bytes	note
dashboard	latest-month	dashboard latest-month	0	live	204	
dashboard	fulfilment-health	dashboard fulfilment-health	0	live	2437	
dashboard	state-sales	dashboard state-sales	0	live	16309	
dashboard	state-sales-detail	dashboard state-sales-detail	0	live	441	
dashboard	category-breakdown	dashboard category-breakdown	0	live	2339	
dashboard	category-litres	dashboard category-litres	0	live	643	
dashboard	category-platform-breakdown	dashboard category-platform-breakdown	0	live	286	
dashboard	category-trend	dashboard category-trend	0	live	1296	
dashboard	inventory-charts	dashboard inventory-charts	0	live	4740	
dashboard	primary-po-litres	dashboard primary-po-litres	0	live	793	
dashboard	secondary-yoy-growth	dashboard secondary-yoy-growth	0	live	9835	
dashboard	platform-expiry-alerts	dashboard platform-expiry-alerts	0	live	1515	
dashboard	top-skus	dashboard top-skus	0	live	2961	
dashboard	top-skus:amazon	dashboard top-skus --platform amazon	0	live	2937	
dashboard	cat-sku:amazon	dashboard category-sku-breakdown --platform amazon	0	live	442	
dashboard	expiry:amazon	dashboard expiry-alerts amazon	0	live	78	
dashboard	top-skus:blinkit	dashboard top-skus --platform blinkit	0	live	2290	
dashboard	cat-sku:blinkit	dashboard category-sku-breakdown --platform blinkit	0	live	443	
dashboard	expiry:blinkit	dashboard expiry-alerts blinkit	0	live	78	
dashboard	top-skus:zepto	dashboard top-skus --platform zepto	0	live	2931	
dashboard	cat-sku:zepto	dashboard category-sku-breakdown --platform zepto	0	live	441	
dashboard	expiry:zepto	dashboard expiry-alerts zepto	0	live	78	
dashboard	top-skus:swiggy	dashboard top-skus --platform swiggy	0	live	2931	
dashboard	cat-sku:swiggy	dashboard category-sku-breakdown --platform swiggy	0	live	442	
dashboard	expiry:swiggy	dashboard expiry-alerts swiggy	0	live	78	
dashboard	top-skus:bigbasket	dashboard top-skus --platform bigbasket	0	live	2720	
dashboard	cat-sku:bigbasket	dashboard category-sku-breakdown --platform bigbasket	0	live	445	
dashboard	expiry:bigbasket	dashboard expiry-alerts bigbasket	0	live	78	
dashboard	top-skus:flipkart	dashboard top-skus --platform flipkart	0	live	272	
dashboard	cat-sku:flipkart	dashboard category-sku-breakdown --platform flipkart	0	live	444	
dashboard	expiry:flipkart	dashboard expiry-alerts flipkart	0	live	78	
dashboard	top-skus:jiomart	dashboard top-skus --platform jiomart	0	live	271	
dashboard	cat-sku:jiomart	dashboard category-sku-breakdown --platform jiomart	0	live	443	
dashboard	expiry:jiomart	dashboard expiry-alerts jiomart	0	live	78	
dashboard	top-skus:flipkart_grocery	dashboard top-skus --platform flipkart_grocery	0	live	1822	
dashboard	cat-sku:flipkart_grocery	dashboard category-sku-breakdown --platform flipkart_grocery	0	live	452	
dashboard	expiry:flipkart_grocery	dashboard expiry-alerts flipkart_grocery	0	live	78	
master	fcs	master fcs	0	live	3357	
notifications	list	notifications list	0	live	95746	
platform.amazon	ads	platform ads amazon	0	live	59220	
platform.amazon	comparison	platform comparison amazon	0	live	15141	
platform.amazon	coupon	platform coupon amazon	0	live	10970	
platform.amazon	drr	platform drr amazon	0	live	194631	
platform.amazon	inventory-match	platform inventory-match amazon	0	live	79	
platform.amazon	marketplace	platform marketplace amazon	0	live	4496	
platform.amazon	month-on-month-sale	platform month-on-month-sale amazon	5		0	Error: GET /api/platform/amazon/month-on-month-sale returned HTTP 400: ["Month On Month Sale is available only for Big Basket and Flipkart Grocery."] 
platform.amazon	month-targets	platform month-targets amazon	0	live	2602	
platform.amazon	pendency	platform pendency amazon	5		0	Error: GET /api/platform/amazon/pendency-dashboard returned HTTP 400: ["Pendency dashboard is not yet enabled for platform 'amazon'."] 
platform.amazon	pos	platform pos amazon	0	live	128	
platform.amazon	price	platform price amazon	0	live	64336	
platform.amazon	primary	platform primary amazon	0	live	219391	
platform.amazon	primary-month-targets	platform primary-month-targets amazon	0	live	1151	
platform.amazon	region-doh	platform region-doh amazon	3		0	Error: GET /api/platform/amazon/region-doh-dashboard returned HTTP 404:  <!doctype html> <html lang="en"> <head>   <title>Not Found</title> </head> <body>   <h1
platform.amazon	secondary	platform secondary amazon	0	live	295295	
platform.amazon	secondary-monthly	platform secondary-monthly amazon	0	live	62828	
platform.amazon	secondary-years	platform secondary-years amazon	0	live	135	
platform.amazon	soh-doh	platform soh-doh amazon	0	live	82324	
platform.amazon	stats	platform stats amazon	0	live	141	
platform.bigbasket	ads	platform ads bigbasket	5		0	Error: GET /api/platform/bigbasket/ads-dashboard returned HTTP 400: ["Amazon Ads Dashboard is available only for Amazon."] 
platform.bigbasket	comparison	platform comparison bigbasket	5		0	Error: GET /api/platform/bigbasket/comparison-dashboard returned HTTP 400: ["Comparison Dashboard is available only for Amazon."] 
platform.bigbasket	coupon	platform coupon bigbasket	5		0	Error: GET /api/platform/bigbasket/coupon-dashboard returned HTTP 400: ["Coupon Dashboard is available only for Amazon."] 
platform.bigbasket	drr	platform drr bigbasket	0	live	41531	
platform.bigbasket	inventory-match	platform inventory-match bigbasket	0	live	79	
platform.bigbasket	marketplace	platform marketplace bigbasket	5		0	Error: GET /api/platform/bigbasket/mp-dashboard returned HTTP 400: ["MP Dashboard is available only for Amazon."] 
platform.bigbasket	month-on-month-sale	platform month-on-month-sale bigbasket	0	live	10674	
platform.bigbasket	month-targets	platform month-targets bigbasket	0	live	3789	
platform.bigbasket	pendency	platform pendency bigbasket	0	live	13929	
platform.bigbasket	pos	platform pos bigbasket	0	live	128	
platform.bigbasket	price	platform price bigbasket	5		0	Error: GET /api/platform/bigbasket/price-dashboard returned HTTP 400: ["Amazon Price Dashboard is available only for Amazon."] 
platform.bigbasket	primary	platform primary bigbasket	0	live	56696	
platform.bigbasket	primary-month-targets	platform primary-month-targets bigbasket	0	live	2432	
platform.bigbasket	region-doh	platform region-doh bigbasket	3		0	Error: GET /api/platform/bigbasket/region-doh-dashboard returned HTTP 404:  <!doctype html> <html lang="en"> <head>   <title>Not Found</title> </head> <body>   
platform.bigbasket	secondary	platform secondary bigbasket	0	live	73565	
platform.bigbasket	secondary-monthly	platform secondary-monthly bigbasket	5		0	Error: GET /api/platform/bigbasket/sec-monthly-dashboard returned HTTP 400: ["Month Sale is available only for Amazon and Flipkart."] 
platform.bigbasket	secondary-years	platform secondary-years bigbasket	0	live	135	
platform.bigbasket	soh-doh	platform soh-doh bigbasket	0	live	11236	
platform.bigbasket	stats	platform stats bigbasket	0	live	141	
platform.blinkit	ads	platform ads blinkit	5		0	Error: GET /api/platform/blinkit/ads-dashboard returned HTTP 400: ["Amazon Ads Dashboard is available only for Amazon."] 
platform.blinkit	comparison	platform comparison blinkit	5		0	Error: GET /api/platform/blinkit/comparison-dashboard returned HTTP 400: ["Comparison Dashboard is available only for Amazon."] 
platform.blinkit	coupon	platform coupon blinkit	5		0	Error: GET /api/platform/blinkit/coupon-dashboard returned HTTP 400: ["Coupon Dashboard is available only for Amazon."] 
platform.blinkit	drr	platform drr blinkit	0	live	21677	
platform.blinkit	inventory-match	platform inventory-match blinkit	0	live	79	
